# Féminin des substantifs français.

# Codes formation du féminin:
#   -  régulier (en -e)
#   *  id. mais inclus dans les exercices à substantifs irréguliers uniquement
#   N  pas de forme particulière au féminin (article masculin)
#   C  conservant la forme du masculin (mais avec acrticle féminin)
#   R  selon une règle dépendant de la termnaison
#   L  id. mais il y a une liste d'exceptions
#   I  irrégulier
#   M  nom de métier féminisé (féminin avec ou sans -e)
#   P  nom de profession, sans forme particulière au féminin
# Les minuscules indiquent (normalement) qu'il y a 2 formes du féminin

menteur                       L
menuisier                     R
messager                      R
meurtrier                     R
migrant                       -
milicien                      L
militaire                     -
mineur (d'âge)                L
mineur (profession)           L
ministre                      M
mixeur                        L
modèle                        N
moniteur                      L
monsieur                      I
motard                        -
mouton                        I
musicien                      L
négociateur                   L
nageur                        L
narrateur                     L
navigateur                    L
nettoyeur                     L
neveu                         I
notaire                       M
novice                        -
observateur                   L
oculiste                      -
officiel                      R
officier                      R
oncle                         I
opérateur                     L
opticien                      L
orateur                       L
organisateur                  L
orienteur                     L
orphelin                      L
orthopédiste                  -
ouvrier                       R
P.D.G.                        C
pâtissier                     R
pèlerin                       L
père                          I
pécheur                       L
pédiatre                      -
parlementaire                 -
parrain                       I
partenaire                    -
participant                   -
passant                       -
passeur                       L
pasteur                       M
patient                       -
patron                        L
pauvre                        L
payeur                        L
paysan                        L
peintre                       P
pensionné                     -
percepteur                    L
perceur                       L
Persan                        L
pharmacien                    L
philosophe                    -
phonéticien                   L
photographe                   -
piéton                        L
pianiste                      -
pilote                        -
pirate                        -
pisciculteur                  L
pizzaiolo                     I
plâtrier                      R
placeur                       L
plafonneur                    L
planeur                       L
planificateur                 L
plombier                      R
plongeur                      L
poète                         P
poissonnier                   R
policier                      R
polisseur                     L
politicien                    L
pompier                       R
pompiste                      -
porteur                       L
portier                       R
possesseur                    L
postulant                     -
pousseur                      L
précurseur                    L
préfet                        I
préparateur                   L
préposé                       -
présentateur                  L
président                     -
prêtre                        L
praticien                     L
prince                        L
principal                     *
prisonnier                    R
procurateur                   L
procureur                     L
producteur                    L
professeur                    M
professionnel                 R
programmeur                   L
promeneur                     L
promoteur                     L
propriétaire                  -
proviseur                     M
psychiatre                    -
psychologue                   -
puériculteur                  L
pupitreur                     L
questionneur                  L
réalisateur                   L
récepteur                     L
rédacteur                     L
réfugié                       -
régent                        -
régisseur                     L
réparateur                    L
résident                      -
radioanimateur                L
rameur                        L
randonneur                    L
rapporteur                    L
rebouteux                     R
receveur                      L
recruteur                     L
recteur                       L
religieux                     R
remplaçant                    -
reporter                      i
reporteur                     l
représentant                  -
responsable                   -
restaurateur                  L
restituteur                   L
retraité                      -
revendeur                     L
rhumatologue                  -
rival                         *
roboticien                    L
rodeur                        L
roi                           I
romancier                     R
sélectionneur                 L
sénateur                      L
sénior                        -
salarié                       -
sauveteur                     L
sauveur                       L
savant                        -
saxophoniste                  -
scélérat                      L
scientifique                  -
sculpteur                     P
secouriste                    -
secrétaire                    -
sergent                       -
serrurier                     R
serveur                       R
serviteur                     I
sidérurgiste                  -
signataire                    -
sismologue                    -
skateur                       L
skieur                        L
skippeur                      L
soldat                        L
soliste                       -
solliciteur                   L
sondeur                       L
sorcier                       R
souffleur                     L
sous-chef                     i
sous-directeur                L
sous-officier                 R
sous-préfet                   I
sous-traitant                 -
soussigné                     -
spécialiste                   -
speaker                       I
spectateur                    L
sponsor                       -
sportif                       R
sténo                         C
stagiaire                     -
statisticien                  L
steward (aviation)            I
steward (bateau, club)        I
stoppeur                      L
stripteaseur                  L
substitut                     M
suiveur                       L
sujet                         L
sultan                        L
supérieur                     L
superviseur                   L
suppléant                     -
supporter                     I
supporteur                    L
surfeur                       L
surveillant                   -
téléphoniste                  -
télévendeur                   L
témoin                        C
tailleur                      L
tanneur                       L
tapissier                     R
tatoueur                      L
technicien                    L
teinteur                      L
terroriste                    -
testeur                       L
thérapeute                    -
tireur                        L
titulaire                     -
tondeur                       L
torréfacteur                  L
touriste                      -
tourneur                      L
toxicomane                    -
trésorier                     R
traducteur                    L
traiteur                      L
transporteur                  L
trapéziste                    -
trappeur                      L
travailleur                   L
trempeur                      L
trompettiste                  -
tueur                         L
tuteur                        L
universitaire                 -
urologue                      -
usager                        R
utilisateur                   L
vérificateur                  L
vétéran                       -
vétérinaire                   -
valet                         I
veilleur                      L
vendeur (juridique)           L
vendeur                       L
vengeur                       L
veuf                          R
vice-directeur                L
vice-président                -
vicomte                       L
violoniste                    -
virologue                     -
visiteur                      L
voisin                        L
voleur                        L
voyageur                      L
voyant                        -
wagonnier                     R
webmaster                     I
xylophoniste                  -
yogi                          C
écolier                       R
économiste                    -
écrivain                      M
éditeur                       L
éducateur                     L
élève                         -
électeur                      L
électricien                   L
électronicien                 L
éleveur                       L
élu                           -
émetteur                      L
énergéticien                  L
épicier                       R
époux                         R
étudiant                      -
évaluateur                    L
